flight_direction,waypoint_id,latitude,longitude,altitude,phase,distance_to_next_meters,altitude_difference,vertical_velocity,horizontal_velocity,time_to_complete
SFO_SJC,SFO_FATO,37.620421,-122.395884,0,HOVER CLIMB,0.0,15,1.5,0.0,10.0
SFO_SJC,SFO_hover_fix,37.620421,-122.395884,15,CLIMB TRANSITION,1469.08,90,1.5,48.96933333333333,60.0
SFO_SJC,SFO_departure_fix,37.60851541756432,-122.38862912313519,105,CLIMB,6356.01,345,2.875,52.966750000000005,120.0
SFO_SJC,SFO_SJC_waypoint_1,37.57632532094604,-122.3289616620529,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_2,37.56804492914644,-122.31360953834906,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_3,37.55976453764404,-122.29825912094643,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_4,37.551484146438796,-122.28291040914519,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_5,37.54320375553063,-122.26756340224578,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_6,37.534923364919464,-122.25221809954897,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_7,37.52664297460525,-122.23687450035581,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_8,37.51836258458792,-122.2215326039677,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_9,37.5100821948674,-122.20619240968627,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_10,37.50180180544364,-122.19085391681354,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_11,37.49352141631655,-122.17551712465173,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_12,37.48524102748608,-122.16018203250349,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_13,37.476960638952164,-122.14484863967165,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_14,37.468680250714726,-122.12951694545943,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_15,37.46039986277373,-122.11418694917032,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_16,37.45211947512908,-122.09885865010807,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_17,37.44383908778072,-122.08353204757684,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
SFO_SJC,SFO_SJC_waypoint_18,37.43555870072856,-122.06820714088099,450,CRUISE,1635.55,0,0.0,79.71,20.518755488646345
